,address,latitude,longitude
0,"Бийский район, с. Сростки, ул. Чуйская, д.1а",52.419948,85.719643
1,"с. Баюновские Ключи, Первомайский район, примерно в 125 м. ориентира жилая застройка северной части с. Баюновские Ключи",53.328601,84.182913
2,"г. Новоалтайск, ул. Дорожная, д. 62",53.390321,83.987655
3,"город Белокуриха, Бийская улица, д. 40/2",52.001456,84.993238
4,"г. Бийск, пер. Липового, д. 4/1",52.500588,85.157127
5,"Россия, Первомайский район, (примерно в 200 м от примыкающей подъездной автодороги) к с. Санниково с правой стороны автодороги Барнаул-Бийск-Госграница )",53.343635,83.97118
6,"г. Барнаул, ул. Попова, д. 166а",53.346516,83.670738
7,"г. Барнаул, пр-кт Космонавтов, д. 14К",53.38777,83.68848
8,"г. Бийск, ул. Советская, д. 219/9",52.512182,85.172165
9,"Шипуновский район, с. Шипуново, (по трассе Шипуново - Первомайское)",52.220108,82.258443
10,"город Барнаул, Гоголя улица, д. 104",53.328714,83.777863
11,"г. Барнаул, ул. Юрина, д. 311 / ул. Солнечная Поляна, д. 20",53.374938,83.662366
12,"Россия, г. Барнаул, тракт Павловский, д. 319",53.348887,83.619795
13,"Тальменский район, примерно в 3.5 км на юго-восток от ст.Озерки",53.668819,83.698901
14,"Калманский район, 55 км автодороги Барнаул-Рубцовск",52.915177,83.514171
15,"Алтайский район, Село Алтайское, М.Горького улица, д. 2б",51.942545,85.345486
16,"Топчихинский район, с. Чистюнька (48 км. автомобильной дороги «Парфеново-Топчиха-Чистюнька»)",52.679095,83.211062
17,"г. Барнаул, ул. Попова, д. 175а",53.323621,83.645136
18,"Павловский район, с. Павловск, ул. Магистральная, участок 1а",53.337274,82.92935
19,"г. Барнаул, тракт Змеиногорский, д. 134а",53.218497,83.681294
20,"г. Рубцовск, ул. Комсомольская, д. 160",51.52244,81.210136
21,"Бийский район, 4 км. автодороги Бийск-Турочак-Артыбаш",52.57291,85.219317
22,"г.Бийск, ул.Вячеслава Шишкова, д.41а",52.525563,85.243787
23,"г.Барнаул, ул.Власихинская, д.61а",53.326745,83.694589
24,"Троицкий р-н, в 20м по направлению на Восток от ориентира Алтайский край (в придорожной полосе ФД М-52 ""Чуйский тракт"" 292км)",52.90576,84.592221
25,"Майминский район, 431+850 км Чуйского тракта",51.812258,85.989048
26,"г.Горно-Алтайск, ул. Барнаульская, д. 209",51.913832,85.99132
27,"Чемальский район, в северо-восточной части села Чемал, на 33,825 км автодороги Усть-Сема-Чемал-Куюс с правой стороны",51.913832,85.99132
28,"Майминский район, с. Майма, ул. Подгорная, д.2 Г",52.009505,85.911811
29,"Майминский район, район Айского моста, 455 км. Чуйского тракта",51.902353,85.868197
30,"Кош-Агачский район, с. Кош-Агач, ул. Новочуйская, д.б/н",50.009411,88.673843
31,"Майминский район, с. Манжерок, 471 км Чуйского тракта",51.831125,85.777027
32,"г. Новокузнецк, шоссе Заводское, д.30",53.821374,87.17291
33,"Кемеровская область - Кузбасс, Мысковский г.о., г.Мыски, ул.Туманная, сооружение 1/1 ",53.712514,87.805747
34,"Кемеровская область - Кузбасс, Новокузнецкий р-н, Сосновское сельское поселение, ул.Дорожная, земельный участок 4 ",53.719868,87.786603
35,"Ленинск-Кузнецкий район, автотрасса Ленинск-Кузнецкий-Прокопьевск-Новокузнецк, 5 км (слева)",54.656245,86.190396
36,"Кемеровская область - Кузбасс, г.Кемерово, пр-кт Шахтеров, сооружение 94 ",55.411353,86.129948
37,"г. Новокузнецк, шоссе Притомское, д.15",53.770742,87.331355
38,"г. Новокузнецк, Куйбышевский район, ул. Транспортная, 61Б",53.741494,87.137499
39,"г. Осинники, ул. Магистральный проезд, д.18а",53.611325,87.327304
40,г. Междуреченск. В районе ул. Весенняя и ул. Кузнецкая,53.680618,88.075133
41,"г. Новокузнецк, ул. Туркменская, дом 54а",53.706071,87.118562
42,"г. Новокузнецк, шоссе Пойменное, д.24",53.82156,87.142979
43,"г. Таштагол, ул. Поспелова, дом №30",52.767018,87.851049
44,"г. Белово, ул. Ленина,1",54.425928,86.307195
45,"Кемеровская область -Кузбасс, г.Кемерово, пр.-т Химиков, сооружение 4а ",55.333738,86.140414
46,"Кемеровская область, Прокопьевский муниципальный район, 121 км. на а/д Междуреченск-Ленинск-Кузнецкий",54.157718,86.806092
47,"г. Новокузнецк, ул. Димитрова, д.42",53.751606,87.049536
48,"г. Новокузнецк, ул. Обнорского, д.77",53.780549,87.255448
49,"г. Новокузнецк, шоссе Ильинское, 47",53.845588,87.11028
50,"г. Междуреченск, район бывшей Ольжерасской автобазы, стр.16",53.685199,88.080398
51,"г. Прокопьевск, пр-кт Шахтеров, 18",53.890919,86.748483
52,"г. Новокузнецк, Центральный район, ул. Орджоникидзе, дом №1А",53.766059,87.101728
53,"г. Новокузнецк, Центральный район, ул. Транспортная, дом № 91А",53.747874,87.164808
54,"г. Новокузнецк, шоссе Космическое, д.24",53.859679,87.228669
55,"г. Прокопьевск, улица Главная, 135",53.810258,86.796606
56,"Кемеровская область - Кузбасс, г.Кемерово, ул.Красноармейская, сооружение 1/4 ",55.355771,86.013518
57,"Ленинск-Кузнецкий район, автотрасса Ленинск-Кузнецкий-Прокопьевск-Новокузнецк, 5 км (справа)",54.656245,86.190396
58,"Кемеровская область - Кузбасс, г.Кемерово, ул.Нахимова, сооружение 312 ",55.444328,86.138698
59,"Кемеровская область -Кузбасс, гКемерово, ул.Мариинская, сооружение 1 ",55.383178,86.056808
60,"Кемеровская область - Кузбасс, Промышленновский мун.окр., с.Журавлево, ул.Центральная, зд.1а/2 ",54.786996,85.048565
61,"Кемеровская область, Новокузнецкий район, п. Кузедеево, ул.Рябова, 13б",53.32518,87.14173
62,"г. Анжеро-Судженск, ул. Пушкина, 18",56.079307,86.028888
63,"г. Мариинск, ул. Котовского, дом 32",56.191478,87.703437
64,"Кемеровская обл, г.Кемерово, ул.Тухачевского, стр.85",55.287681,86.138321
65,"г.Ленинск-Кузнецкий, пр-кт Текстильщиков, д.17",54.699306,86.212153
66,"г.Ленинск-Кузнецкий, ул.Шевцовой, д.19",54.681654,86.188213
67,"г. Юрга, ул. Московская, 129",55.717193,84.887291
68,"г. Новокузнецк, Новоильинский район, ш.Бызовское, № 29",53.883394,87.146132
69,"г.Прокопьевск, пр.-т Строителей, 8а",53.866126,86.627274
70,"Кемеровская область - Кузбасс, г.Кемерово, пр. Октябрьский, сооружение 32/1 ",55.349338,86.130074
71,"г.Кемерово, ул.Советская, 14",55.521369,86.096091
72,"г. Киселевск, ул. Привольная, д.2а",54.01085,86.675693
73,"г. Березовский, ул.Автотрасса Новосибирск-Иркутск-323 км + 400 м",56.909583,60.816457
74,"г. Барнаул, тракт Змеиногорский, д. 43а",53.298759,83.765133
75,"г. Камень-на-Оби, Пушкина улица, д. 32",53.789821,81.337266
76,"г. Барнаул, район Железнодорожный, тракт Павловский, д. 32",53.341027,83.725105
77,"г. Алейск, пер. Ульяновский, д. 108р. (трасса Барнаул-Рубцовск)",52.498253,82.746273
78,"Зональный р-н, с.Буланиха, трасса Новосибирск-Бийск-Ташанта 318км",52.801745,84.930823
79,"г. Бийск, ул. Севастопольская, д. 2/2",52.532845,85.152797
80,"г. Бийск, Барнаульский тракт северо-западнее КП ГАИ (Заря)",52.553733,85.221168
81,"г. Бийск, ул. Иркутская д.1/31",52.545667,85.205133
82,"Бийский район, 374-км а/д Новосибирск-Бийск-Ташанта",52.59623,85.581518
83,"г. Бийск, ул. Мерлина д. 63/1",52.527865,85.159436
84,"Бийский район, п. Пригородный, ул. Тогульская, д.1",52.563435,85.24076
85,"п. Семеновод, Бийский район, вблизи ЖСК «Солнечная поляна»",52.543887,85.329666
86,"г. Бийск, пос. Нагорный, ул. Каховская, д. 136",52.536734,85.156902
87,"г. Бийск, с. Первомайское, ул. Восточная, 1",52.581545,85.256382
88,"Коченевский район, Федеральная трасса «Байкал», 1422 км. Слева",55.04125,82.375754
89,"Коченевский район, Федеральная трасса «Байкал», 1422 км. Справа",55.04125,82.375754
90,"г.Барнаул, ул.Кутузова, д.142",53.314573,83.705054
91,"г.Барнаул, пр-т Социалистический, д.5",53.326514,83.792559
92,"г. Новосибирск, Бердское шоссе, дом 550",54.815275,83.090292
93,"г. Новосибирск, Октябрьский район, улица Кирова, дом 40",55.020291,82.935045
94,"г. Новосибирск, Ленинский район, улица Станционная, дом 80а",54.997249,82.791881
95,"г. Новосибирск, ул. Владимировская, 26 (стр.)",55.044572,82.882152
96,"г. Новосибирск, ул. Курчатова, 20",55.105913,82.9737
97,"г. Новосибирск, улица Военная, дом 7/1",55.027175,82.938549
98,"г. Новосибирск, Дзержинский район, улица Фрунзе, д.240",55.040523,82.962111
99,"г. Новосибирск, улица Большевистская, д 130",54.991465,82.979332
100,"г. Новосибирск,  Гусинобродское шоссе, 41 стр",55.042045,83.033087
101,"г. Новосибирск, ул. Фрунзе, дом 75",55.041911,82.963144
102,"г. Новосибирск, Ленинский район, улица Троллейная, д.87",54.962426,82.849732
103,"г. Бердск, Федеральная автодорога М-52, «Чуйский тракт» (км 38+060)",54.777407,83.093813
104,"Новосибирский район, МО Станционный сельсовет в районе поселок Садовый, улица Пасечная, 6",55.250238,38.055941
105,"Новосибирский район, поселок Элитное, Советское шоссе, дом 3",54.919088,82.957117
106,"Новосибирский район, переезд Пашинский, Кемеровское шоссе",55.121458,83.007225
107,"Новосибирский район, 14-й км. Ордынской трассы, Комплекс автозаправочного сервиса",54.877734,83.124374
108,"г.Новосибирск, ул.Богдана Хмельницкого, д.71/7",55.090176,82.975478
109,"г.Новосибирск, ул.Дзержинского, д.120",55.071809,83.013809
110," г.Томск, Герцена улица, д. 61а",56.47347,84.986222
111,"Омская обл., Тюкалинский район, г. Тюкалинск, ул.Заречная, д.2",55.893051,72.194285
112,"162608 , Вологодская область,  город Череповец, ул. Кирилловское шоссе, д. 18",59.139904,37.932971
113,"160527 , Вологодская область, Вологодский районн, деревня Аксеново, Придорожный комплекс тер., дом 36, помещение 1, 31 км А-114.",59.155599,39.376761
